Name;Geburtsjahr;Todesjahr;Konfession;Kategorie;Mitglied von;Urheber von;Autor von;Mitglieder;Wirkungsjahre
Agostino Nani;1555;1627;katholisch;"Städtische Administration; Angehörige der Aristokratie";Venezianische Gesandte beim Reichstag in Regensburg 1613;;;;
Juliana von Nassau-Dillenburg;1566;1630;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Juliane von Nassau-Dillenburg;1587;1643;protestantisch;Angehörige der Aristokratie;;;;;
Nasua;;;andere;Angehörige der Aristokratie;;;;;58 v. Chr. nachgewiesen
Elisabeth von Neideck;;;christlich allgemein;Sonstige;;;;;
Dorothea Neider;1532;;keine Angabe;Sonstige;;;;;
Barbara Neidhart;;;protestantisch;Angehörige der Aristokratie;;;;;zwischen 1575 und 1582
Christoph Konrad Neidhart;1562;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;1562–1616 nachgewiesen
Erasmus Neidhart;;;katholisch;Sonstige;;;;;
Susanna Neidhart;;;protestantisch;Angehörige der Aristokratie;;;;;zwischen 1575 und 1582
Ludwig Christoph von Neipperg;;1635;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Melchior Ludwig von Neipperg;;1619;protestantisch;Angehörige der Aristokratie;;;;;
Heinz Nelle;;;keine Angabe;Bedienstete;;;;;1612–1614 nachgewiesen
Johann Wilhelm Neonobel;;1616;keine Angabe;Hofleute, höfische Administration;;;;;
Nero, Kaiser (Römisches Reich);;;andere;Angehörige der Aristokratie;;;;;
Nestorius;;;christlich allgemein;"Gelehrte und Schriftsteller; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Balthasar Neu;1577;1647;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Matthäus Neubronner;1578;1635;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Städtische Administration";;;;;
Johann Neudörffer;1567;1639;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Johann Reinhard von Neuhausen;;1653;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Benedictus Neumair;1552;1627;katholisch;Angehörige von Klerus und Ordensgemeinschaften;Ebersberger Mönche;;;;
Peter Neusesser;;;keine Angabe;Sonstige;;;;;1538–1564 nachweisbar
Ulrich Neusesser d. Ä.;;;keine Angabe;Sonstige;;;;;1538–1539 nachweisbar
Johannes Pistorius Niddanus;1546;1608;"protestantisch; katholisch";Angehörige der Aristokratie;;;;;
Christoph Georg von Niebelschütz;;;protestantisch;Angehörige der Aristokratie;;;;;um 1615–1621
Niketas Patrikios;;;andere;Angehörige des Militärs;;;;;ca. 806
Nikolaus III., Fürst (Mecklenburg);;;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Nikolaus III., Herzog (Mecklenburg-Güstrow);;;katholisch;Angehörige der Aristokratie;;;;;
Nikolaus von Werle;;;katholisch;Angehörige der Aristokratie;;;;;
Ninus, König (Assyrien);;;andere;Angehörige der Aristokratie;Die vier Monarchen;;;;
Ernst Friedrich von Nippenburg;;;keine Angabe;Angehörige der Aristokratie;;;;;1610–1616 nachgewiesen
Bernhard Nöttel;;1643;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Städtische Administration";;;;;1585–1643
Hans Nöttel;;1649;keine Angabe;Städtische Administration;;;;;
Kaspar von Normann;;;;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;etwa zwischen 1600 und nach 1640 nachgewiesen
Wolfgang Jakob Nothaft;1564;1619;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Johann Michael Elias von Obentraut;1574;1625;protestantisch;"Angehörige des Militärs; Angehörige der Aristokratie; Hofleute, höfische Administration";;Triumf Newlich bey der F. kindtauf zu Stutgart gehalten;;;
Ludwig von Obentraut;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie; Angehörige des Militärs";;;;;1607–1633 nachgewiesen
N.(?) Occone;;;keine Angabe;Künstler: Angewandte Kunst;;Stammbuch Philipps II. von Pommern-Stettin;;;um 1612–1617
Odysseus;;;andere;Sonstige;;;;;
Christian Oeckel;;;keine Angabe;Sonstige;;Stammbücher Philipp Hainhofers;;;um 1617 nachweisbar
Balthasar Oefelen;;;keine Angabe;Städtische Administration;;;;;erwähnt um 1635/1636
Thomas Oehem;;;christlich allgemein;Sonstige;;;;;
Johann Christoph Oelhafen von Schöllenbach;1574;1631;protestantisch;Städtische Administration;;;;;
Oelz;;;keine Angabe;Hofleute, höfische Administration;;;;;um 1616
Veronica Örtwein;;;christlich allgemein;Sonstige;;;;;
Desiderius Constantin Oesler;1552;1627;;"Gelehrte und Schriftsteller; Hofleute, höfische Administration";;;;;
Johann Karl von Österreich;1605;1619;katholisch;Angehörige der Aristokratie;"Ferdinand II., Kaiser (HRR), Söhne 1607/1611; Habsburger (Dynastie)";;;;
Margarete von Österreich;1584;1611;katholisch;Angehörige der Aristokratie;;;;;
Maria Anna von Österreich;1610;1665;katholisch;Angehörige der Aristokratie;Habsburger (Dynastie);;;;
Maria Magdalena von Österreich;1589;1631;katholisch;Angehörige der Aristokratie;Habsburger (Dynastie);"Apotheken als Geschenke Maria Maria Magdalenas von Österreich; Geschenke Maria Magdalenas von Österreich an das Fürstenpaar von Pommern-Stettin";;;
Daniel Österreicher;;1644;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Jeremias Österreicher;1576;1633;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Johann Ulrich Oesterreicher;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;zwischen 1603 und 1633
Ernst von Oettingen-Wallerstein;1594;1670;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";"Reichshofrat (Heiliges Römisches Reich); Schwäbisches Reichsgrafenkollegium";;;;
Philipp von Oettingen;1569;1627;protestantisch;Angehörige der Aristokratie;;;;;
Markus Wilhelm von Oettingen-Spielberg;1590;1614;keine Angabe;Angehörige der Aristokratie;Schwäbisches Reichsgrafenkollegium;;;;
Gottfried von Oettingen-Oettingen;1554;1622;protestantisch;Angehörige der Aristokratie;Schwäbisches Reichsgrafenkollegium;;;;
Henman von Offenburg;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;1609–1633 nachgewiesen
Isaak Oliver;1560;1617;protestantisch;Künstler: Malerei;;;;;
Andrzej IV. Opaliński;1575;1623;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;Stammbücher Philipp Hainhofers;;;
Katharina Belgica von Oranien-Nassau;1578;1648;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Louise Juliana von Oranien-Nassau;1576;1644;protestantisch;Angehörige der Aristokratie;;;;;
Heinrich VIII. von Ortenburg;1594;1622;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Johann Philipp von Ortenburg;1592;1631;"protestantisch; katholisch";"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Reinhart Osborn;;;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;um 1593–1616
Anna von Ostfriesland;1562;1621;protestantisch;Angehörige der Aristokratie;;;;;
Maria von Ostfriesland;1582;1616;keine Angabe;Angehörige der Aristokratie;;;;;
Sophia von Ostfriesland;1600;1658;keine Angabe;Angehörige der Aristokratie;;;;;
Otho, Herzog (Bayern);;;"andere; katholisch";Angehörige der Aristokratie;;;;;um 550
Kaspar Ottmann;;;katholisch;Hofleute, höfische Administration;;;;;um 1636
Otto IV., Graf (Scheyern);;;katholisch;Angehörige der Aristokratie;;;;;um 1130
Wolfgang Paler;1545;1622;protestantisch;"Kaufleute, Gewerbetreibende, Dienstleister; Städtische Administration";;;;;zwischen 16106 und 1620
Sophia von Pálffy;;1668;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Frauenzimmer der Kaiserin Anna;;;;
Nestor Pallavicino;;1654;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Palmerín de Oliva, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Pantalone (Theaterfigur);;;keine Angabe;Sonstige;;;;;
Johann Georg Pantzer;;;keine Angabe;Künstler: Malerei;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;nachweisbar zwischen 1598 bis 1630
Susanna Pantzer;;;keine Angabe;Bedienstete;;;;;um 1620/1621
von Pappenheim, Veit, Kinder aus zweiter Ehe;;;;;;;;;
Wolfgang Friedrich von Pappenheim;;1627;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Paris von Lodron, Erzbischof (Salzburg);1586;1653;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Parzen, Göttinnen;;;;;;;;;
Erasmus Pascha;1568;1643;katholisch;"Gelehrte und Schriftsteller; Hofleute, höfische Administration";;;;;
Georg Friedrich Pastoir;1578;1645;protestantisch;Hofleute, höfische Administration;;;;;
Paul V., Papst;1552;1621;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Andreas Paul;1575;1630;protestantisch;Hofleute, höfische Administration;;;;;
Paulos von Kephallenia;;;andere;Angehörige des Militärs;;;;;erwähnt um 808/809
Heinrich Paulstorff;;;keine Angabe;Sonstige;;;;;um 1617 nachweisbar
Maarten Peeters;;;keine Angabe;Künstler: Graphik;;;;;tätig um 1524/25 bis 1565/66
Philipp Jakob Pehner;1583;1634;keine Angabe;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Hans Peisser;;;keine Angabe;Bedienstete;;;;;1564 nachweisbar
Wölflein Pelauf;;;keine Angabe;Hofleute, höfische Administration;;;;;um 1580 bis 1615
Katharina Praxedis von Perckhausen;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 1609 und 1649
Frobenia Johanna Eusebia von Pernstein;1596;1646;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Frauenzimmer der Kaiserin Anna;;;;
Pero;;;keine Angabe;Sonstige;;;;;
Joachim Peterstorff;;;protestantisch;Hofleute, höfische Administration;;;;;ca. 1613–1617
Johann Philipp Petsch;;;protestantisch;Hofleute, höfische Administration;;;;;erwähnt zwischen 1586 und 1628
Maria Pettenbeck;1573;1619;katholisch;Angehörige der Aristokratie;;;;;
Leonhard Pfahler;;;keine Angabe;Sonstige;;;;;1539 nachgewiesen
Michael Pfahler;;;keine Angabe;Sonstige;;;;;1539–1564 nachgewiesen
Susanna von Pfalz-Lützelstein;1591;1667;protestantisch;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;
Anna von Pfalz-Neuburg;1552;1632;protestantisch;Angehörige der Aristokratie;;Geschenke anlässlich der Hochzeit von Wolfgang Wilhelm von Pfalz-Neuburg und Magdalena von Bayern;;;
Dorothea Maria von Pfalz-Sulzbach;1559;1639;protestantisch;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;
Ursula von Pfalz-Veldenz-Lützelstein;1572;1635;protestantisch;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;
Elisabeth Charlotte von der Pfalz;1597;1660;protestantisch;Angehörige der Aristokratie;;;;;
Louise Juliane von der Pfalz;1594;1640;protestantisch;Angehörige der Aristokratie;;;;;
Hans Adolph von Pfeffenhausen;;;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;zwischen 1611 und 1615
Ulrich Pfeiffer;;;keine Angabe;"Künstler: Angewandte Kunst; Künstler: Malerei";;;;;nachgewiesen 1582–1609
Christoph Pfinzing von Henfenfeld;1566;1629;keine Angabe;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Georg Pfinzing;1568;1631;keine Angabe;Angehörige der Aristokratie;Rat der Stadt Nürnberg;;;;
Karl Pfinzing;1578;1629;keine Angabe;Angehörige der Aristokratie;;;;;
Martin Pfinzing von Henfenfeld;1560;1619;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Kunigunde Pfister;;;katholisch;Sonstige;;;;;
Lenhart Pfister;;;katholisch;Sonstige;;;;;
Lenhart Pfister;;;christlich allgemein;Sonstige;;;;;um 1446
Hieronymus von Pflaumern;1556;1616;keine Angabe;Hofleute, höfische Administration;;;;;
Wilhelm Pfleger;;;keine Angabe;Sonstige;;;;;zwischen 1595 und 1612
Christoph von Pflug;;;keine Angabe;Hofleute, höfische Administration;;;;;nachgewiesen zwischen 1613 und 1638 (?)
Georg Pflug;;;protestantisch;Hofleute, höfische Administration;;;;;um 1616
Pharisäer;;;;;;;;;
Phidias;;;andere;Künstler: Skulptur;;;;;
Philipp II., Herzog (Pommern-Stettin);1573;1618;protestantisch;"Angehörige der Aristokratie; Sammler / Auftraggeber";Greifen (Dynastie);"Bibliothek Philipps II. von Pommern-Stettin; Brief Philipps II. von Pommern-Stettin an Philipp Hainhofer vom 17. September 1614; Brief Philipps II. von Pommern-Stettin vom 16. September 1614 (Instruktion); Geschenke Philipps II. Pommern-Stettin an den Fürstbischof von Eichstätt, Johann Konrad vom Gemmingen; Geschenke Philipps II. Pommern-Stettin an Wilhelm V. von Bayern; Goldgulden mit dem Porträt von Philipp II. von Pommern-Stettin und gekreuzten Schwert und Feder; Kreditivschreiben Philipps II. von Pommern-Stettin zur Durlacher Gesandtschaft Hainhofers von 1615; Kreditivschreiben Philipps II. von Pommern-Stettin zur Neuburger Gesandtschaft Hainhofers von 1613; Kreditivschreiben Philipps II. von Pommern-Stettin zur Speyrer Gesandtschaft Hainhofers von 1615; Lubinsche Landkarte; Pommerscher Kunstschrank; Pommerscher Meierhof; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers; Stettin, Residenzschloss; Tierbuch Philipps II. von Pommern-Stettin";;;
Philipp III., König (Spanien);1578;1621;katholisch;"Angehörige der Aristokratie; Sammler / Auftraggeber";"Habsburger (Dynastie); Orden vom Goldenen Vlies";;;;
Philipp IV., König (Spanien);1605;1665;katholisch;"Angehörige der Aristokratie; Sammler / Auftraggeber";"Habsburger (Dynastie); Orden vom Goldenen Vlies";;;;
Philipp III., Markgraf (Baden-Rodemachern);1567;1629;keine Angabe;Angehörige der Aristokratie;;;;;
"Philipp Christoph von Sötern, Erzbischof und Kurfürst
               (Trier)";1567;1652;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;Stammbuch Philipps II. von Pommern-Stettin;;;
Philipp Julius, Herzog (Pommern-Wolgast);1584;1625;protestantisch;Angehörige der Aristokratie;Greifen (Dynastie);Stammbuch Philipps II. von Pommern-Stettin;;;
Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg);1547;1614;protestantisch;Angehörige der Aristokratie;Protestantische Union;"Geschenke anlässlich der Hochzeit von Wolfgang Wilhelm von Pfalz-Neuburg und Magdalena von Bayern; Neuburg an der Donau, Hofkirche Mariä Himmelfahrt; Neuburg an der Donau, Marstall; Neuburg an der Donau, Schloss Neuburg; Neuburg an der Donau, Schloss Neuburg, Altanbau; Neuburg an der Donau, Schloss Neuburg, Großer Saal; Neuburg an der Donau, Schloss Neuburg, Tafelstube; Schloss Höchstädt; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Philipp, Herzog (Mecklenburg-Schwerin);1514;1667;keine Angabe;Angehörige der Aristokratie;;;;;
Philipp Moritz, Graf (Hanau-Münzenberg);1605;1638;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";Wetterauisches Reichsgrafenkollegium;;;;
Philipp Otto, Fürst (Salm);1575;1634;"protestantisch; katholisch";"Angehörige der Aristokratie; Angehörige des Militärs";"Orden der grünen Binde; Wetterauisches Reichsgrafenkollegium";;;;
Philipp, Herzog (Schleswig-Holstein-Sonderburg-Glücksburg);1584;1663;keine Angabe;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
"Philipp Sigismund, Herzog (Braunschweig-Wolfenbüttel) und Bischof
               (Verden und Osnabrück)";1568;1623;protestantisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Philipp Wilhelm, Herzog (Pfalz-Neuburg);1615;1690;katholisch;Angehörige der Aristokratie;;Neuburg an der Donau, Schloss Neuburg;;;
Phronander, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Paolo Piazza;1560;1621;katholisch;"Künstler: Malerei; Künstler: Graphik; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Wolfgang Pichler;;;katholisch;Städtische Administration;;;;;1597–1635
Johannes Plachetius;;1635;protestantisch;"Gelehrte und Schriftsteller; Hofleute, höfische Administration";;;;;
Joachim (?) Platte;;;keine Angabe;"Bedienstete; Hofleute, höfische Administration";;;;;um 1617
Volrad von Plessen;1560;1631;protestantisch;Hofleute, höfische Administration;;;;;
Friedrich von Plieningen;1550;1635;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Gaius Plinius d. Ä.;;;andere;"Gelehrte und Schriftsteller; Angehörige des Militärs";;;Plinius Secundus d. Ä., Gaius: Naturkunde. Lateinisch–Deutsch, 32 Bde. (Buch 1–37, Gesamtregister), München/Zürich, München, Zürich/Düsseldorf 1973–2004;;
Theodor Plönnies;;1628;keine Angabe;Gelehrte und Schriftsteller;;Stammbücher Philipp Hainhofers;;;1613–1628
Johann Georg von Plotho;;;protestantisch;Angehörige der Aristokratie;;;;;um 1616
Georg Abraham Poemer;1584;1655;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Johann Jakob Poemer;1569;1627;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Gaius Iulius Polybius;;;andere;Hofleute, höfische Administration;;;;;
Clara Maria von Pommern;1574;1623;protestantisch;Angehörige der Aristokratie;Greifen (Dynastie);Stammbuch Philipps II. von Pommern-Stettin;;;
Elisabeth Magdalena von Pommern-Wolgast;1580;1649;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Heila von Pommern;;;christlich allgemein;Angehörige der Aristokratie;;;;;ca. 1128–1148
Ulrich von Pommern;1589;1622;protestantisch;Angehörige der Aristokratie;Greifen (Dynastie);"Stammbuch Philipps II. von Pommern-Stettin; Stammbuch Philipps II. von Pommern-Stettin";;;
Anna von Pommern-Stettin;;;katholisch;Angehörige der Aristokratie;Greifen (Dynastie);;;;
Sophia von Pommern-Stettin;1579;1658;protestantisch;Angehörige der Aristokratie;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Sophia von Pommern-Stettin, Brüder;;;;Angehörige der Aristokratie;;;;;
Anna von Pommern-Wolgast;1554;1626;protestantisch;Angehörige der Aristokratie;Greifen (Dynastie);Stammbuch Philipps II. von Pommern-Stettin;;;
Rudolf von Ponickau auf Jüchsen;1567;1620;protestantisch;Hofleute, höfische Administration;;;;;
Hieronymus della Porta;;1630;keine Angabe;Angehörige des Militärs;;;;;
Joachim Praetorius;1566;1633;protestantisch;"Gelehrte und Schriftsteller; Angehörige von Klerus und Ordensgemeinschaften";;;;;
